City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,banff,51.1762,-115.5698,20.57,39,67,3.6,CA,1691711290
1,port-aux-francais,-49.35,70.2167,3.61,85,99,16.86,TF,1691711349
2,vilyuchinsk,52.9306,158.4028,17.15,66,71,1.79,RU,1691711350
3,west island,-12.1568,96.8225,24.99,88,100,6.17,CC,1691711117
4,gobabis,-22.45,18.9667,12.45,39,53,5.49,NA,1691711351
5,luganville,-15.5333,167.1667,22.96,57,95,3.22,VU,1691711351
6,saint david's,12.0333,-61.6667,28.69,84,20,5.66,GD,1691711351
7,kruisfontein,-34.0033,24.7314,18.82,29,1,6.27,ZA,1691711351
8,waitangi,-43.9535,-176.5597,12.68,95,79,1.34,NZ,1691711351
9,tazovsky,67.4667,78.7,4.57,64,0,9.22,RU,1691711156
10,isafjordur,66.0755,-23.124,7.36,81,85,9.32,IS,1691711352
11,mocimboa,-11.3167,40.35,18.47,96,7,1.92,MZ,1691711352
12,ancud,-41.8697,-73.8203,8.63,59,97,9.72,CL,1691711252
13,college,64.8569,-147.8028,22.34,80,75,1.54,US,1691711130
14,bayanhongor,46.7167,100.1167,11.97,64,3,0.96,MN,1691711352
15,grytviken,-54.2811,-36.5092,-0.32,99,100,3.73,GS,1691711352
16,st. john's,47.5649,-52.7093,19.04,92,75,2.57,CA,1691711259
17,kouango,4.9934,19.9619,21.57,98,100,0.34,CF,1691711353
18,tiksi,71.6872,128.8694,18.98,41,6,5.18,RU,1691711353
19,okha,53.5739,142.9478,15.91,75,30,4.84,RU,1691711353
20,utrik,11.2278,169.8474,27.89,75,8,5.41,MH,1691711141
21,flin flon,54.7682,-101.865,16.91,59,100,4.12,CA,1691711353
22,albany,42.6001,-73.9662,21.05,86,93,1.27,US,1691711353
23,fujin,47.26,132.0322,17.79,91,100,4.84,CN,1691711354
24,puerto ayora,-0.7393,-90.3518,24.75,92,55,2.24,EC,1691711123
25,georgetown,5.4112,100.3354,26.64,94,20,1.03,MY,1691711195
26,ushuaia,-54.8,-68.3,0.81,93,100,2.06,AR,1691711121
27,puerto natales,-51.7236,-72.4875,-1.25,96,57,1.08,CL,1691711234
28,edinburgh of the seven seas,-37.0676,-12.3116,12.09,73,64,13.35,SH,1691711119
29,stanley,54.868,-1.6985,19.01,83,0,3.6,GB,1691711122
30,soio,-6.1349,12.3689,21.43,86,3,2.77,AO,1691711373
31,ketchikan,55.3422,-131.6461,16.26,88,100,5.66,US,1691711154
32,luocheng,29.3848,104.0286,25.55,92,78,1.25,CN,1691711373
33,cedral,23.8,-100.7333,27.56,35,46,9.92,MX,1691711373
34,shuangjiang,26.1547,109.7138,23.98,94,11,0.62,CN,1691711373
35,invercargill,-46.4,168.35,6.12,80,100,1.79,NZ,1691711261
36,avarua,-21.2078,-159.775,24.03,88,75,6.69,CK,1691711122
37,bilibino,68.0546,166.4372,12.76,71,99,2.09,RU,1691711374
38,kingston,17.997,-76.7936,27.89,97,94,0.44,JM,1691711142
39,rio preto da eva,-2.6994,-59.6997,26.63,69,52,1.73,BR,1691711374
40,vorkuta,67.5,64.0,4.29,98,80,3.85,RU,1691711374
41,gadzhiyevo,69.2551,33.3362,15.22,83,0,5.91,RU,1691711375
42,viedma,-40.8135,-62.9967,15.34,37,100,7.6,AR,1691711375
43,hargeysa,9.56,44.065,22.02,56,70,10.86,SO,1691711375
44,panama city beach,30.1766,-85.8055,33.07,71,0,5.14,US,1691711129
45,acarau,-2.8856,-40.12,26.54,83,20,9.27,BR,1691711375
46,chinde,26.8418,88.0763,20.77,99,100,0.06,NP,1691711375
47,papao,-17.75,-149.55,27.82,64,53,8.74,PF,1691711376
48,kone,-21.0595,164.8658,22.4,40,0,3.26,NC,1691711376
49,vernon,50.2581,-119.2691,26.53,38,90,1.54,CA,1691711112
50,enewetak,11.3474,162.3373,28.51,77,56,5.39,MH,1691711376
51,lihue,21.9789,-159.3672,30.77,59,0,7.2,US,1691711376
52,kodiak,57.79,-152.4072,14.73,77,75,0.0,US,1691711377
53,thompson,55.7435,-97.8558,19.09,45,75,1.54,CA,1691711377
54,sligo,54.2697,-8.4694,14.22,96,77,3.56,IE,1691711377
55,abepura,-2.6333,140.5833,27.45,74,20,0.0,ID,1691711377
56,port alfred,-33.5906,26.891,19.65,48,0,4.5,ZA,1691711136
57,butterworth,5.3991,100.3638,26.7,94,20,1.03,MY,1691711378
58,ishigaki,24.3448,124.1572,27.07,94,75,1.03,JP,1691711175
59,sao joao da barra,-21.6403,-41.0511,23.05,85,9,8.32,BR,1691711123
60,kavaratti,10.5669,72.642,27.61,77,94,7.28,IN,1691711378
61,bishkul,54.7803,69.1033,13.56,69,60,4.12,KZ,1691711378
62,yushu,44.8,126.5333,21.69,89,100,5.97,CN,1691711378
63,talas,38.6908,35.5538,16.37,51,0,1.03,TR,1691711379
64,presidencia de la plaza,-27.0015,-59.8424,22.85,67,30,2.04,AR,1691711379
65,gilgit,35.9221,74.3087,27.6,50,32,1.1,PK,1691711379
66,saryozek,44.3583,77.9753,19.94,60,89,3.44,KZ,1691711379
67,constantia,44.1833,28.65,21.5,58,100,5.04,RO,1691711379
68,portland,45.5234,-122.6762,29.41,43,20,6.69,US,1691711050
69,jamestown,42.097,-79.2353,21.8,71,75,4.63,US,1691711379
70,floro,61.5996,5.0328,9.98,87,100,3.6,NO,1691711380
71,hakui,36.8833,136.7833,35.07,62,0,1.47,JP,1691711380
72,yuzhno-kurilsk,44.0306,145.8556,21.71,90,99,6.2,RU,1691711380
73,port mathurin,-19.6833,63.4167,23.03,78,61,9.66,MU,1691711119
74,adam,22.3756,57.5233,27.44,64,99,4.02,OM,1691711380
75,nuku'alofa,-21.1333,-175.2,23.19,78,100,4.12,TO,1691711380
76,nova xavantina,-14.6667,-52.35,26.82,36,1,1.88,BR,1691711381
77,qamdo,31.1667,97.2333,7.81,85,100,1.78,CN,1691711381
78,inirida,3.8653,-67.9239,23.76,97,82,1.49,CO,1691711381
79,zykovo,55.9519,93.1461,13.41,64,74,1.58,RU,1691711381
80,longyearbyen,78.2186,15.6401,9.91,81,100,1.54,SJ,1691711119
81,blackmans bay,-43.0167,147.3167,11.52,72,100,2.17,AU,1691711382
82,bayramaly,37.6185,62.1671,26.86,27,0,3.28,TM,1691711383
83,ouesso,1.6136,16.0517,22.32,94,60,0.39,CG,1691711383
84,xai-xai,-25.0519,33.6442,16.01,71,12,2.26,MZ,1691711383
85,arica,-18.475,-70.3042,19.13,72,100,5.14,CL,1691711085
86,makurazaki,31.2667,130.3167,26.97,77,88,0.82,JP,1691711383
87,colonia,50.9333,6.95,17.76,82,0,1.54,DE,1691711279
88,touros,-5.1989,-35.4608,24.83,80,49,6.51,BR,1691711383
89,margaret river,-33.95,115.0667,12.13,77,82,2.41,AU,1691711384
90,bethel,41.3712,-73.414,22.05,86,100,2.57,US,1691711124
91,santa sylvina,-27.8326,-61.1375,22.25,54,10,1.81,AR,1691711384
92,goth phulji,26.8825,67.6807,32.62,55,53,4.72,PK,1691711384
93,adamstown,-25.066,-130.1015,17.85,61,18,10.68,PN,1691711118
94,acapulco de juarez,16.8634,-99.8901,31.9,66,40,4.63,MX,1691711198
95,nelson bay,-32.7167,152.15,15.62,59,0,3.13,AU,1691711384
96,lengshuijiang,27.6881,111.4294,25.95,81,0,0.95,CN,1691711385
97,palmer,42.1584,-72.3287,21.95,85,100,2.06,US,1691711385
98,vorgashor,67.5833,63.95,4.09,97,86,4.22,RU,1691711385
99,ribeira grande,38.5167,-28.7,21.54,86,59,3.58,PT,1691711385
100,qaqortoq,60.7167,-46.0333,6.66,79,93,0.63,GL,1691711385
101,grande prairie,55.1667,-118.8027,20.1,42,75,8.23,CA,1691711086
